x,y,z,grid_size,area
657070.3593,962655.0,1395.7638,30.0,900.0
657070.3593,962625.0,1395.6178,30.0,900.0
657070.3593,962595.0,1395.3972,30.0,900.0
657070.3593,962565.0,1395.0741,30.0,900.0
657070.3593,962535.0,1396.1632,30.0,900.0
657070.3593,962505.0,1393.8569,30.0,900.0
657070.3593,962475.0,1392.7435,30.0,900.0
657070.3593,962445.0,1392.6666,30.0,900.0
657070.3593,962415.0,1392.519,30.0,900.0
657070.3593,962385.0,1392.1744,30.0,900.0
657070.3593,962355.0,1391.5607,30.0,900.0
657070.3593,962325.0,1390.3623,30.0,900.0
657070.3593,962295.0,1388.0164,30.0,900.0
657070.3593,962265.0,1386.6841,30.0,900.0
657070.3593,962235.0,1385.7568,30.0,900.0
657070.3593,962205.0,1385.4326,30.0,900.0
657070.3593,962175.0,1385.3342,30.0,900.0
657070.3593,962145.0,1384.9774,30.0,900.0
657070.3593,962115.0,1384.4905,30.0,900.0
657070.3593,962085.0,1384.3265,30.0,900.0
